Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772681633.651,26.2,19.3,166.23,2.513,0.0
1772681633.679,35.8,18.3,163.81,2.418,0.0
1772681633.721,23.9,18.4,163.12,0.690,0.0
1772681633.746,39.6,17.7,166.26,3.134,0.0
1772681633.783,27.2,18.9,164.37,1.887,0.0
1772681633.814,31.8,17.7,168.22,3.847,0.0
1772681633.845,32.4,16.7,166.43,1.793,0.0
1772681633.889,22.8,17.1,165.50,0.925,0.0
1772681633.915,38.8,17.5,164.87,0.627,0.0
1772681633.947,30.6,17.3,166.10,1.231,0.0
1772681633.982,29.1,18.4,163.83,2.270,0.0
1772681634.011,34.6,16.4,164.26,0.422,0.0
1772681634.050,25.5,17.2,166.93,2.671,0.0
1772681634.078,35.3,16.6,164.09,2.839,0.0
1772681634.122,22.9,16.4,167.10,3.015,0.0
1772681634.148,38.1,15.5,163.86,3.248,0.0
1772681634.185,27.3,17.6,0.00,0.000,0.0
1772681634.222,27.1,15.4,168.29,4.433,0.0
1772681634.254,31.1,17.6,165.39,2.902,0.0
1772681634.319,15.2,36.9,164.07,1.314,0.0
1772681634.345,39.0,16.1,162.33,1.739,0.0
1772681634.367,45.9,16.3,164.78,2.445,0.0
1772681634.390,42.7,15.5,163.87,0.912,0.0
1772681634.412,45.7,16.1,164.38,0.510,0.0
1772681634.453,24.3,15.1,164.02,0.352,0.0
1772681634.480,36.8,15.7,161.73,2.297,0.0
1772681634.512,31.4,15.7,162.62,0.890,0.0
1772681634.550,26.8,15.6,160.96,1.654,0.0
1772681634.579,34.6,15.3,163.29,2.329,0.0
1772681634.618,25.6,15.1,163.05,0.246,0.0
1772681634.644,37.7,15.6,0.00,0.000,0.0
1772681634.702,17.3,32.2,0.00,0.000,0.0
1772681634.725,43.5,15.3,0.00,0.000,0.0
1772681634.749,42.1,15.2,162.90,0.153,0.0
1772681634.788,25.5,15.1,0.00,0.000,0.0
1772681634.816,35.6,14.9,0.00,0.000,0.0
1772681634.849,30.6,15.5,167.01,4.111,0.0
1772681634.886,26.8,15.0,162.79,4.213,0.0
1772681634.915,34.3,15.8,164.34,1.548,0.0
1772681634.965,20.2,16.2,165.26,0.921,0.0
1772681634.995,32.6,15.4,0.00,0.000,0.0
1772681635.020,40.1,16.0,164.83,0.432,0.0
1772681635.048,36.2,15.1,167.17,2.344,0.0
1772681635.082,29.2,15.3,167.93,0.754,0.0
1772681635.114,31.9,16.3,167.00,0.932,0.0
1772681635.154,24.9,15.2,0.00,0.000,0.0
1772681635.188,29.2,22.3,0.00,0.000,0.0
1772681635.227,25.8,25.7,0.00,0.000,0.0
1772681635.267,24.7,26.9,164.96,2.040,0.0
1772681635.295,35.5,19.3,162.67,2.286,0.0
1772681635.330,28.9,19.9,160.47,2.199,0.0
1772681635.360,33.5,20.2,161.36,0.886,0.0
1772681635.390,33.3,19.7,157.03,4.330,0.0
1772681635.422,31.0,21.2,163.21,6.186,0.0
1772681635.460,26.3,21.6,162.22,0.994,0.0
1772681635.503,23.0,20.5,166.73,4.514,0.0
1772681635.535,31.9,21.9,167.15,0.422,0.0
1772681635.566,31.9,22.2,162.06,5.094,0.0
1772681635.597,32.1,21.3,161.97,0.091,0.0
1772681635.628,32.2,21.1,166.96,4.987,0.0
1772681635.661,30.9,24.4,165.14,1.814,0.0
1772681635.691,33.3,17.3,165.37,0.228,0.0
1772681635.716,39.2,18.1,164.60,0.765,0.0
1772681635.771,18.2,36.2,165.31,0.704,0.0
1772681635.796,39.5,16.8,0.00,0.000,0.0
1772681635.821,40.6,15.2,0.00,0.000,0.0
1772681635.851,33.3,15.5,0.00,0.000,0.0
1772681635.894,23.5,17.1,166.99,1.686,0.0
1772681635.918,40.3,16.2,165.22,1.779,0.0
1772681635.947,35.5,15.0,0.00,0.000,0.0
1772681636.006,16.7,25.2,0.00,0.000,0.0
1772681636.030,41.6,15.5,0.00,0.000,0.0
1772681636.054,43.3,15.3,0.00,0.000,0.0
1772681636.080,37.6,15.1,167.85,2.633,0.0
1772681636.124,22.7,27.4,0.00,0.000,0.0
1772681636.161,26.8,15.2,0.00,0.000,0.0
1772681636.186,41.0,16.1,175.87,8.027,0.0
1772681636.216,32.6,14.8,0.00,0.000,0.0
1772681636.247,32.9,15.5,170.34,5.539,0.0
1772681636.286,25.7,15.9,171.22,0.885,0.0
1772681636.315,34.7,14.9,167.56,3.665,0.0
1772681636.349,29.5,15.3,163.01,4.541,0.0
1772681636.389,24.7,15.5,155.42,7.597,0.0
1772681636.414,39.5,15.1,147.45,7.967,0.0
1772681636.448,29.3,14.8,140.24,7.210,0.0
1772681636.480,31.6,15.4,0.00,0.000,0.0
1772681636.518,26.3,16.0,139.93,0.312,0.0
1772681636.557,25.7,16.1,0.00,0.000,0.0
1772681636.581,42.0,16.5,0.00,0.000,0.0
1772681636.614,30.3,16.8,133.85,6.078,0.0
1772681636.648,29.0,15.0,0.00,0.000,0.0
1772681636.679,32.3,15.3,0.00,0.000,0.0
1772681636.719,25.4,15.6,0.00,0.000,0.0
1772681636.746,36.2,15.6,130.59,3.263,0.0
1772681636.784,26.1,15.1,121.04,9.547,0.0
1772681636.815,32.9,15.0,0.00,0.000,0.0
1772681636.851,27.5,15.3,0.00,0.000,0.0
1772681636.881,33.7,14.9,0.00,0.000,0.0
1772681636.913,31.5,16.1,102.07,18.970,0.0
1772681636.980,14.8,26.2,99.18,2.886,0.0
1772681637.005,40.6,16.4,103.02,3.835,0.0
1772681637.026,47.6,15.5,98.61,4.407,0.0
1772681637.048,45.3,16.0,100.34,1.730,0.0
1772681637.081,30.1,15.5,97.21,3.132,0.0
1772681637.125,22.8,15.4,95.77,1.439,0.0
1772681637.148,42.6,15.1,95.12,0.653,0.0
1772681637.184,28.2,15.7,94.59,0.528,0.0
1772681637.214,33.3,15.1,99.04,4.451,0.0
1772681637.250,27.5,15.3,98.74,0.306,0.0
1772681637.282,31.6,14.6,98.07,0.662,0.0
1772681637.320,26.4,15.5,100.88,2.804,0.0
1772681637.368,20.8,31.2,99.14,1.737,0.0
1772681637.391,42.9,15.4,99.76,0.624,0.0
1772681637.439,20.8,27.2,99.90,0.131,0.0
1772681637.462,44.1,17.0,98.16,1.736,0.0
1772681637.485,43.7,16.9,98.66,0.505,0.0
1772681637.519,29.3,15.2,98.35,0.310,0.0
1772681637.549,33.3,15.6,107.27,8.916,0.0
1772681637.584,28.4,15.4,99.96,7.308,0.0
1772681637.621,26.9,15.8,102.44,2.482,0.0
1772681637.648,37.1,16.3,101.95,0.498,0.0
1772681637.687,25.7,16.0,102.66,0.716,0.0
1772681637.716,34.6,15.4,103.62,0.961,0.0
1772681637.747,32.5,15.1,106.26,2.641,0.0
1772681637.786,25.4,15.8,110.24,3.979,0.0
1772681637.813,37.0,17.0,116.49,6.244,0.0
1772681637.851,26.2,16.9,117.36,0.873,0.0
1772681637.881,33.6,15.3,117.76,0.405,0.0
1772681637.917,27.6,15.4,0.00,0.000,0.0
1772681637.948,32.9,15.0,118.77,1.004,0.0
1772681637.980,31.6,15.1,116.47,2.300,0.0
1772681638.017,27.0,15.7,117.35,0.880,0.0
1772681638.048,32.4,15.7,0.00,0.000,0.0
1772681638.085,27.0,16.1,113.58,3.766,0.0
1772681638.113,34.7,16.6,115.59,2.012,0.0
1772681638.166,19.2,18.7,116.94,1.343,0.0
1772681638.192,38.4,19.0,116.82,0.113,0.0
1772681638.215,42.6,16.5,114.87,1.954,0.0
1772681638.253,26.1,16.6,112.67,2.198,0.0
1772681638.282,34.7,17.8,113.80,1.131,0.0
1772681638.321,25.6,16.8,113.26,0.542,0.0
1772681638.355,29.7,16.8,111.98,1.286,0.0
1772681638.382,36.9,15.6,0.00,0.000,0.0
1772681638.422,24.8,16.3,114.70,2.727,0.0
1772681638.448,39.7,15.2,114.09,0.612,0.0
1772681638.484,27.2,15.2,113.27,0.821,0.0
1772681638.515,33.0,15.0,113.64,0.366,0.0
1772681638.555,25.0,17.1,112.61,1.024,0.0
1772681638.595,24.9,19.0,113.57,0.964,0.0
1772681638.625,32.8,19.9,101.99,11.584,0.0
1772681638.657,31.8,19.6,107.08,5.088,0.0
1772681638.688,31.5,20.4,102.23,4.848,0.0
1772681638.722,29.9,19.9,101.35,0.880,0.0
1772681638.767,22.3,21.7,98.61,2.740,0.0
1772681638.795,35.4,21.3,95.48,3.128,0.0
1772681638.827,31.3,21.1,101.51,6.031,0.0
1772681638.859,30.7,21.1,100.07,1.441,0.0
1772681638.891,31.4,21.2,98.10,1.978,0.0
1772681638.931,25.0,21.7,0.00,0.000,0.0
1772681638.960,34.6,19.3,91.55,6.550,0.0
1772681639.008,20.7,21.2,0.00,0.000,0.0
1772681639.039,32.5,21.4,0.00,0.000,0.0
1772681639.064,40.9,16.1,0.00,0.000,0.0
1772681639.088,40.3,16.0,91.75,0.207,0.0
1772681639.116,35.7,15.7,95.67,3.922,0.0
1772681639.150,30.2,16.0,96.15,0.478,0.0
1772681639.182,30.5,16.1,91.62,4.537,0.0
1772681639.217,29.2,17.1,92.67,1.054,0.0
1772681639.255,25.9,16.1,91.83,0.835,0.0
1772681639.282,37.3,15.7,92.57,0.731,0.0
1772681639.319,27.0,15.3,92.71,0.148,0.0
1772681639.375,17.8,25.2,91.35,1.364,0.0
1772681639.399,41.1,15.5,93.12,1.774,0.0
1772681639.423,43.2,15.6,92.92,0.206,0.0
1772681639.451,35.1,15.4,92.98,0.062,0.0
1772681639.484,30.2,14.9,92.39,0.587,0.0
1772681639.517,30.3,16.4,92.87,0.474,0.0
1772681639.549,31.6,15.5,92.77,0.093,0.0
1772681639.585,27.4,15.6,92.53,0.243,0.0
1772681639.618,31.0,15.5,90.82,1.708,0.0
1772681639.652,29.0,15.8,92.34,1.522,0.0
1772681639.684,31.1,14.9,91.80,0.546,0.0
1772681639.728,22.8,27.1,92.41,0.613,0.0
1772681639.762,29.0,15.3,92.72,0.311,0.0
1772681639.785,44.7,16.5,93.27,0.550,0.0
1772681639.826,24.0,15.5,93.84,0.568,0.0
1772681639.861,28.6,16.2,94.09,0.253,0.0
1772681639.885,41.8,15.9,93.06,1.038,0.0
1772681639.919,29.5,15.5,93.28,0.224,0.0
1772681639.958,25.6,15.8,92.61,0.673,0.0
1772681639.988,33.6,15.5,94.35,1.740,0.0
1772681640.022,29.4,15.8,0.00,0.000,0.0
1772681640.069,21.2,31.4,94.38,0.037,0.0
1772681640.092,44.9,16.4,94.24,0.140,0.0
1772681640.118,37.8,16.5,95.58,1.340,0.0
1772681640.159,24.5,17.0,94.94,0.644,0.0
1772681640.183,41.5,15.9,93.46,1.479,0.0
1772681640.229,21.8,15.7,0.00,0.000,0.0
1772681640.254,39.5,16.6,0.00,0.000,0.0
