Timestamp,FPS,Angle
1773392195.947,11.7,123.22
1773392196.033,11.6,135.17
1773392196.122,11.2,140.71
1773392196.202,12.5,152.23
1773392196.287,11.7,157.15
1773392196.377,11.1,161.68
1773392196.467,11.1,165.85
1773392196.560,10.8,168.54
1773392196.651,11.0,168.19
1773392196.741,11.1,169.24
1773392196.831,11.1,170.81
1773392196.922,11.0,170.94
1773392197.013,11.0,170.55
1773392197.103,11.2,170.77
1773392197.184,12.3,168.53
1773392197.262,12.8,167.18
1773392197.340,12.8,168.31
1773392197.427,11.6,166.38
1773392197.517,11.1,161.44
1773392197.608,10.9,152.38
1773392197.700,10.9,135.29
1773392197.792,10.9,119.81
1773392197.884,10.9,91.17
1773392197.976,10.8,77.63
1773392198.066,11.1,67.15
1773392198.161,10.6,61.86
1773392198.253,10.8,61.61
1773392198.388,7.4,63.98
1773392198.478,11.0,66.01
1773392198.571,10.8,68.68
1773392198.670,10.1,71.27
1773392198.759,11.2,74.52
1773392198.954,5.1,77.64
1773392199.094,7.2,77.81
1773392199.231,7.3,79.08
1773392199.365,7.4,83.93
1773392199.500,7.4,90.79
1773392199.588,11.3,94.84
