Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772685409.347,9.5,99.2,148.11,10.007,0.0
1772685409.441,10.6,88.4,138.30,9.804,0.0
1772685409.557,8.6,110.4,122.05,16.252,0.0
1772685409.658,9.9,95.5,112.65,9.398,0.0
1772685409.761,9.8,97.3,108.80,3.855,0.0
1772685409.864,9.7,98.0,100.94,7.853,0.0
1772685409.966,9.8,96.4,98.83,2.118,0.0
1772685410.070,9.6,98.3,96.80,2.025,0.0
1772685410.163,10.8,86.7,97.50,0.700,0.0
1772685410.265,9.8,97.3,99.43,1.926,0.0
1772685410.383,8.5,109.6,98.87,0.557,0.0
1772685410.484,9.9,95.0,95.49,3.382,0.0
1772685410.590,9.4,100.8,96.67,1.180,0.0
1772685410.705,8.7,109.8,102.23,5.558,0.0
1772685410.816,9.0,102.4,108.29,6.065,0.0
1772685410.932,8.6,110.6,108.64,0.346,0.0
1772685411.048,8.6,110.2,119.75,11.109,0.0
1772685411.156,9.3,102.3,129.01,9.262,0.0
1772685411.260,9.6,98.6,142.22,13.211,0.0
1772685411.362,9.8,96.2,149.90,7.683,0.0
1772685411.466,9.6,97.9,159.18,9.279,0.0
1772685411.582,8.6,109.8,160.08,0.896,0.0
1772685411.689,9.3,101.5,162.60,2.518,0.0
1772685411.803,8.8,108.5,0.00,0.000,0.0
1772685411.906,9.7,97.0,0.00,0.000,0.0
1772685412.025,8.4,113.5,0.00,0.000,0.0
1772685412.139,8.8,107.0,0.00,0.000,0.0
1772685412.243,9.6,97.3,0.00,0.000,0.0
1772685412.346,9.7,97.4,0.00,0.000,0.0
1772685412.464,8.5,112.3,0.00,0.000,0.0
1772685412.578,8.8,108.4,0.00,0.000,0.0
1772685412.697,8.4,113.3,160.17,2.423,0.0
1772685412.810,8.9,106.1,159.37,0.801,0.0
1772685412.930,8.3,114.3,151.61,7.758,0.0
1772685413.043,8.8,107.3,138.21,13.404,0.0
1772685413.151,9.3,98.9,122.62,15.588,0.0
1772685413.266,8.6,109.2,111.51,11.114,0.0
1772685413.386,8.4,113.0,108.30,3.203,0.0
1772685413.489,9.7,97.4,99.08,9.225,0.0
1772685413.604,8.7,108.9,98.78,0.296,0.0
1772685413.709,9.5,99.3,100.67,1.886,0.0
1772685413.822,8.8,107.6,97.19,3.478,0.0
1772685413.938,8.7,108.8,98.17,0.981,0.0
1772685414.042,9.6,98.5,98.77,0.601,0.0
1772685414.153,9.0,104.5,109.13,10.356,0.0
1772685414.258,9.6,97.5,117.69,8.558,0.0
1772685414.362,9.6,98.3,124.40,6.718,0.0
1772685414.479,8.5,112.6,135.77,11.367,0.0
1772685414.587,9.3,101.8,149.23,13.455,0.0
1772685414.692,9.6,98.2,158.22,8.998,0.0
1772685414.799,9.3,101.6,158.47,0.245,0.0
1772685414.901,9.8,96.5,0.00,0.000,0.0
1772685415.010,9.2,103.2,0.00,0.000,0.0
1772685415.114,9.7,98.3,0.00,0.000,0.0
1772685415.219,9.5,99.3,0.00,0.000,0.0
1772685415.329,9.1,104.7,0.00,0.000,0.0
1772685415.445,8.6,109.8,0.00,0.000,0.0
1772685415.554,9.1,99.3,0.00,0.000,0.0
1772685415.665,9.0,105.0,0.00,0.000,0.0
1772685415.767,9.8,95.6,0.00,0.000,0.0
1772685415.892,8.0,119.4,0.00,0.000,0.0
1772685416.008,8.6,109.7,153.41,5.062,0.0
1772685416.112,9.6,97.4,146.78,6.626,0.0
1772685416.218,9.4,99.1,139.62,7.162,0.0
1772685416.333,8.7,109.1,127.12,12.495,0.0
1772685416.435,9.8,95.8,114.27,12.856,0.0
1772685416.540,9.5,100.0,109.78,4.488,0.0
1772685416.658,8.5,112.1,96.26,13.520,0.0
1772685416.754,10.4,89.8,98.91,2.649,0.0
1772685416.869,8.7,109.0,96.11,2.797,0.0
1772685416.974,9.5,97.8,95.50,0.614,0.0
1772685417.084,9.1,104.7,96.71,1.212,0.0
1772685417.197,8.9,106.7,96.99,0.276,0.0
1772685417.299,9.8,94.7,98.32,1.337,0.0
1772685417.414,8.7,110.2,110.75,12.424,0.0
1772685417.531,8.6,111.3,116.46,5.714,0.0
1772685417.632,9.9,95.1,131.35,14.887,0.0
1772685417.737,9.6,99.2,144.06,12.716,0.0
1772685417.854,8.5,112.0,153.12,9.054,0.0
1772685417.961,9.4,100.5,158.04,4.926,0.0
1772685418.066,9.5,99.0,0.00,0.000,0.0
1772685418.169,9.7,96.2,0.00,0.000,0.0
1772685418.283,8.8,108.7,0.00,0.000,0.0
1772685418.395,9.0,105.8,0.00,0.000,0.0
1772685418.510,8.7,107.0,0.00,0.000,0.0
1772685418.614,9.6,97.2,0.00,0.000,0.0
1772685418.718,9.7,98.3,0.00,0.000,0.0
1772685418.819,9.9,95.2,0.00,0.000,0.0
1772685418.913,10.6,89.0,0.00,0.000,0.0
1772685419.018,9.6,99.3,0.00,0.000,0.0
1772685419.114,10.4,88.1,0.00,0.000,0.0
1772685419.205,11.0,85.8,0.00,0.000,0.0
1772685419.309,9.7,97.8,153.05,4.995,0.0
1772685419.412,9.7,98.0,147.43,5.621,0.0
1772685419.520,9.2,102.0,141.41,6.023,0.0
1772685419.630,9.1,103.9,129.97,11.435,0.0
1772685419.749,8.4,113.7,119.99,9.979,0.0
1772685419.846,10.3,91.5,111.76,8.230,0.0
1772685419.947,9.9,95.3,109.66,2.105,0.0
1772685420.050,9.7,98.0,97.60,12.059,0.0
1772685420.170,8.3,113.9,94.04,3.561,0.0
1772685420.275,9.5,99.0,96.10,2.061,0.0
1772685420.390,8.7,109.6,94.94,1.156,0.0
1772685420.496,9.5,99.3,95.92,0.978,0.0
1772685420.599,9.7,97.6,93.90,2.016,0.0
1772685420.714,8.7,109.2,100.02,6.112,0.0
1772685420.820,9.4,101.0,110.24,10.229,0.0
1772685420.923,9.7,95.8,114.66,4.418,0.0
1772685421.040,8.6,111.2,122.23,7.569,0.0
1772685421.144,9.6,98.5,133.08,10.844,0.0
1772685421.248,9.6,98.4,139.62,6.542,0.0
1772685421.351,9.7,97.2,144.97,5.350,0.0
1772685421.465,8.8,108.6,149.11,4.144,0.0
1772685421.580,8.7,108.8,158.20,9.093,0.0
1772685421.696,8.6,109.5,0.00,0.000,0.0
1772685421.797,9.9,94.2,0.00,0.000,0.0
1772685421.889,10.8,87.3,0.00,0.000,0.0
1772685421.988,10.1,93.9,0.00,0.000,0.0
1772685422.102,8.8,108.5,0.00,0.000,0.0
1772685422.207,9.6,98.2,0.00,0.000,0.0
1772685422.302,10.5,89.3,0.00,0.000,0.0
1772685422.408,9.4,99.5,0.00,0.000,0.0
1772685422.526,8.4,113.3,157.76,0.445,0.0
1772685422.630,9.7,97.5,148.15,9.613,0.0
1772685422.735,9.5,100.1,144.15,3.997,0.0
1772685422.838,9.8,96.1,134.82,9.332,0.0
1772685422.942,9.5,98.6,127.84,6.974,0.0
1772685423.054,9.0,104.1,119.68,8.166,0.0
1772685423.181,7.8,121.1,110.50,9.175,0.0
1772685423.281,10.1,92.2,97.08,13.425,0.0
1772685423.397,8.6,110.8,95.90,1.180,0.0
1772685423.506,9.2,102.2,95.71,0.182,0.0
1772685423.613,9.4,100.5,94.24,1.472,0.0
1772685423.748,7.4,128.6,95.06,0.818,0.0
1772685423.854,9.5,98.9,96.66,1.596,0.0
1772685424.036,5.5,175.4,93.52,3.139,0.0
1772685424.374,3.0,330.8,110.11,16.595,0.0
1772685424.479,9.5,99.8,138.44,28.324,0.0
