Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772678437.155,15.9,48.6,106.44,11.880,0.0
1772678437.219,15.6,50.9,102.61,3.837,0.0
1772678437.281,16.2,49.2,99.55,3.054,0.0
1772678437.367,11.6,67.7,101.05,1.499,0.0
1772678437.451,12.0,69.9,104.82,3.766,0.0
1772678437.513,16.2,48.2,97.57,7.252,0.0
1772678437.602,11.2,75.5,105.21,7.646,0.0
1772678437.663,16.3,47.2,109.60,4.390,0.0
1772678437.729,15.2,52.4,102.46,7.140,0.0
1772678437.792,15.9,49.3,112.53,10.068,0.0
1772678437.890,10.1,81.0,104.29,8.242,0.0
1772678437.970,12.5,64.6,101.06,3.229,0.0
1772678438.050,12.5,64.5,110.48,9.425,0.0
1772678438.130,12.5,64.0,101.70,8.780,0.0
1772678438.213,12.1,66.0,101.97,0.267,0.0
1772678438.296,12.0,67.8,100.25,1.722,0.0
1772678438.362,15.2,51.3,104.51,4.261,0.0
1772678438.424,15.9,49.3,102.66,1.854,0.0
1772678438.487,15.9,48.5,101.34,1.317,0.0
1772678438.547,16.6,46.8,101.22,0.121,0.0
1772678438.614,15.0,53.6,105.00,3.783,0.0
1772678438.697,12.1,61.2,101.30,3.700,0.0
1772678438.760,15.8,49.7,99.99,1.314,0.0
1772678438.826,15.2,51.4,101.05,1.060,0.0
1772678438.914,11.3,71.1,100.03,1.020,0.0
1772678438.977,15.9,50.1,105.34,5.317,0.0
1772678439.042,15.5,51.3,101.20,4.142,0.0
1772678439.103,16.3,48.2,101.90,0.701,0.0
1772678439.164,16.6,47.9,103.43,1.525,0.0
1772678439.225,16.3,47.9,105.70,2.275,0.0
1772678439.293,14.7,54.9,102.51,3.194,0.0
1772678439.359,15.3,50.7,99.03,3.481,0.0
1772678439.419,16.5,47.4,103.11,4.084,0.0
1772678439.481,16.3,48.0,104.42,1.309,0.0
1772678439.544,15.8,50.6,100.84,3.583,0.0
1772678439.605,16.5,47.8,102.85,2.013,0.0
1772678439.668,15.8,49.7,103.41,0.557,0.0
1772678439.731,16.0,49.4,103.01,0.396,0.0
1772678439.796,15.3,51.4,102.51,0.504,0.0
1772678439.859,15.8,49.5,105.10,2.587,0.0
1772678439.924,15.5,50.7,109.19,4.093,0.0
1772678439.986,16.1,48.7,103.45,5.735,0.0
1772678440.047,16.4,47.3,104.58,1.127,0.0
1772678440.133,11.7,69.4,105.51,0.934,0.0
1772678440.223,11.1,75.8,104.84,0.672,0.0
1772678440.285,16.0,49.4,103.43,1.417,0.0
1772678440.351,15.1,53.1,102.34,1.087,0.0
1772678440.414,15.9,49.5,104.67,2.335,0.0
1772678440.478,15.6,51.5,101.50,3.174,0.0
1772678440.566,11.4,74.9,106.40,4.902,0.0
1772678440.629,16.1,48.1,101.16,5.237,0.0
1772678440.693,15.5,51.3,102.19,1.022,0.0
1772678440.758,15.3,51.0,106.66,4.471,0.0
1772678440.821,16.1,48.6,105.17,1.490,0.0
1772678440.883,16.1,48.9,102.61,2.562,0.0
1772678440.947,15.7,50.5,109.35,6.743,0.0
1772678441.045,10.2,81.7,109.45,0.102,0.0
1772678441.113,14.7,54.1,107.12,2.331,0.0
1772678441.177,15.5,51.1,109.37,2.255,0.0
1772678441.270,10.8,75.7,105.31,4.063,0.0
1772678441.350,12.5,63.1,103.42,1.895,0.0
1772678441.430,12.5,64.0,101.71,1.703,0.0
1772678441.510,12.5,61.8,100.09,1.619,0.0
1772678441.597,11.5,70.8,104.62,4.529,0.0
1772678441.671,13.4,57.3,106.91,2.285,0.0
1772678441.733,16.3,48.6,104.53,2.377,0.0
1772678441.795,16.1,47.8,101.80,2.733,0.0
1772678441.855,16.5,47.1,105.09,3.294,0.0
1772678441.922,15.1,52.9,103.15,1.940,0.0
1772678441.987,15.2,52.4,105.66,2.509,0.0
1772678442.085,10.3,79.2,104.15,1.515,0.0
1772678442.148,15.7,50.9,98.26,5.883,0.0
1772678442.212,15.7,50.5,103.51,5.247,0.0
1772678442.278,15.2,52.3,106.09,2.582,0.0
1772678442.342,15.7,49.4,104.77,1.327,0.0
1772678442.406,15.6,51.2,101.50,3.267,0.0
1772678442.469,15.9,49.6,102.16,0.662,0.0
1772678442.531,16.0,49.3,101.58,0.575,0.0
1772678442.596,15.4,49.7,101.53,0.055,0.0
1772678442.662,15.2,52.1,102.39,0.862,0.0
1772678442.726,15.5,51.2,102.46,0.069,0.0
1772678442.791,15.4,50.9,101.35,1.109,0.0
1772678442.854,15.8,49.2,101.99,0.641,0.0
1772678442.916,16.1,49.3,100.51,1.479,0.0
1772678442.981,15.4,52.1,102.56,2.044,0.0
1772678443.042,16.3,47.8,101.43,1.123,0.0
1772678443.118,13.3,59.4,100.02,1.417,0.0
1772678443.179,16.4,48.0,98.89,1.124,0.0
1772678443.256,12.9,62.0,98.61,0.286,0.0
1772678443.320,15.6,51.0,102.40,3.795,0.0
1772678443.383,15.9,49.6,106.05,3.651,0.0
1772678443.447,15.7,50.3,104.25,1.800,0.0
1772678443.510,15.8,49.8,103.01,1.240,0.0
1772678443.574,15.5,51.2,110.09,7.081,0.0
1772678443.638,15.7,50.4,103.69,6.407,0.0
1772678443.701,15.9,49.9,100.26,3.430,0.0
1772678443.765,15.4,51.6,102.54,2.279,0.0
1772678443.844,12.7,65.1,104.01,1.474,0.0
1772678443.911,14.9,53.6,103.67,0.344,0.0
1772678443.973,16.1,49.2,103.08,0.584,0.0
1772678444.036,15.8,49.8,102.64,0.443,0.0
1772678444.098,16.2,47.7,103.93,1.291,0.0
1772678444.162,15.8,48.7,100.12,3.811,0.0
1772678444.228,15.0,53.5,103.74,3.624,0.0
